conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.70E+18,Tue Sep 19 16:19:06 +0000 2023,8,Hasil Investigasi Rangka eSAF Honda. Tim peneliti melihat proses pengendalian kualitas produk mulai tahap incoming material press welding dan pelapisan. Item kontrol dimensi ketebalan dari hasil proses pelapisan telah memenuhi persyaratan standard manufacturing global. https://t.co/hH4XuOmwe9,1.70E+18,https://pbs.twimg.com/media/F6Zr_GyaoAAgF79.jpg,,in,Ã°Å¸â€¡Â®Ã°Å¸â€¡Â© Pancasila,0,0,8,https://x.com/Urrangawak/status/1704168248240197790,506059176,Urrangawak
1.72E+18,Sun Oct 29 10:20:00 +0000 2023,5,Honda Jamin Rangka eSAF Aman Kini Digaransi 5 Tahun Tanpa Batas Jarak PT Astra Honda Motor (AHM) menjamin rangka eSAF maupun rangka motor lainnya aman. Honda berani memberikan jaminan garansi hingga 5 tahun. &gt,,,,,,,,,,,
1.71E+18,Thu Sep 28 12:33:24 +0000 2023,8,Soal rangka eSAF Honda yang viral tidak perlu khawatir. Hasil penelitian Direktorat Jendral Perhubungan Darat dan KNKT ketebalan teknik coating secara dipping sudah sesuai standar manufaktur global https://t.co/T5almUumTS,1.71E+18,https://pbs.twimg.com/media/F7HOoiobcAAwbq3.jpg,,in,Ã°Å¸â€¡Â®Ã°Å¸â€¡Â© Pancasila,0,0,7,https://x.com/Urrangawak/status/1707372938440458251,506059176,Urrangawak
1.69E+18,Wed Aug 23 17:03:26 +0000 2023,0,Lagi rame masalah rangka eSAF honda pas banget lagi inventaris kantor make jadi pengen ngecek karena gabut https://t.co/k365VHvgmN,1.69E+18,https://pbs.twimg.com/media/F4OzNBTbsAAQhz4.jpg,,in,Khaenri'ah,0,0,0,https://x.com/WisnuGraha__/status/1694394929404121307,1356950916,WisnuGraha__
1.69E+18,Wed Aug 23 21:46:06 +0000 2023,2,Lagi rame soal rangka eSAF di Honda terbaru. Ndilalah di rumah ada satu unit yang diduga sudah pakai rangka ini. Berharap Honda ada program recall atau sejenisnya. Waktu buka pabrikan lain Suzuki sudah bikin program yang sekilas terlihat oke. https://t.co/B5XGwoTadE,1.69E+18,https://pbs.twimg.com/media/F4PzdXfasAAf1YC.jpg,,in,,0,0,0,https://x.com/sarjokooo/status/1694466066611937782,1226931068,sarjokooo
1.69E+18,Wed Aug 23 10:02:44 +0000 2023,20,KARENA SERING PATAH RANGKA ESAF HONDA SEKARANG BISA DIBELI ECERAN https://t.co/tLj0Qt7ytL,1.69E+18,https://pbs.twimg.com/media/F4NSv2pakAA5K_z.jpg,,in,,0,1,2,https://x.com/univlox/status/1694289059970273304,1.42E+18,univlox
1.69E+18,Tue Aug 22 00:58:34 +0000 2023,1,Menurut Gue nih.... Rangka ESAF Honda ini yg bermasalah.... yg di Klaim lebih ringan dan kuat ... Ini dipake Produk Honda setelah 2018.... Yg sebelumnya mah kuat... Vario 2013 Gue aman aja... Buat Kerja dan Angkat2 Ribuan Km.... Ã¯Â¸Â BEM UI Capres Litbang Kompas https://t.co/c8uwJfgqUi,1.69E+18,https://pbs.twimg.com/media/F4GMx_kawAA2Epr.jpg,,in,Gaza Side,0,0,0,https://x.com/hari_mawon/status/1693789728179699928,2944705567,hari_mawon
1.69E+18,Tue Aug 22 04:02:34 +0000 2023,39,Seliweran di Fb... Apa iya ta..rangka eSaf honda bermasalah?? @Honda https://t.co/rug3vU2ZNs,1.69E+18,https://pbs.twimg.com/media/F4G243hbEAAhmoG.jpg,,in,,1,6,6,https://x.com/MasBolali/status/1693836033333567952,1.60E+18,MasBolali
1.70E+18,Fri Aug 25 16:32:27 +0000 2023,52,kamu apa kabar? lagi rangka eSAF hahh??? lagi rapuh :(,1.70E+18,,,in,emailnyausai@gmail.com,0,8,4,https://x.com/usaisudahhh/status/1695111910033871015,1.12E+18,usaisudahhh
1.70E+18,Wed Aug 30 13:16:59 +0000 2023,36,Honda Hitomi grad efek dari polemik rangka eSAF,1.70E+18,,,in,Bogor Jawa Barat,0,3,9,https://x.com/agv48/status/1696874656849174589,1279650811,agv48
1.70E+18,Tue Aug 29 05:21:29 +0000 2023,15,akan kuhadapi patah hati ini dengan rangka esaf hondaku,1.70E+18,,,in,,0,1,6,https://x.com/plumbinq/status/1696392607583339007,705079657,plumbinq
1.70E+18,Mon Aug 28 07:08:46 +0000 2023,6,kendaraan paling mewah yang pernah aku kendarai adalah bahu ayahku soalnya nga pakai rangka eSAF. ketik 1 jika kamu kgn ayahmu : &lt,,,,,,,,,,,
1.70E+18,Mon Aug 28 11:03:41 +0000 2023,15,Gara gara rangka ESaF sering patah akhirnya dijadiin gerai mixue I mixue ayang Ã¯Â¸Â https://t.co/TjOr4BSmis,1.70E+18,https://pbs.twimg.com/ext_tw_video_thumb/1696116285237862400/pu/img/Pl40EyM2pORSn6v9.jpg,,in,Indonesia,0,4,3,https://x.com/Crazytogel/status/1696116337691726286,941284352,Crazytogel
1.70E+18,Mon Aug 28 11:51:18 +0000 2023,256,Dok gigi saya kalo dipasang behel pake rangka esaf biayanya berapa,1.70E+18,,,in,,2,34,85,https://x.com/rezasnegara/status/1696128319488704579,338983080,rezasnegara
1.70E+18,Wed Aug 30 14:08:55 +0000 2023,0,Kasihan karyawan AHM. Mungkin ada pengaruh dari viralnya kasus rangka eSAF kali ya? Sekarang pada jualan motor. ,1.70E+18,,,in,United Kingdom of Banten,0,1,0,https://x.com/adhams/status/1696887728753836244,14284867,adhams
1.70E+18,Mon Aug 28 03:19:29 +0000 2023,2,MENGEMBALIKAN BRAND TRUST Belajar dari Kasus Honda Motor Honda pekan ini lagi mjd bulan2an netizen menyusul temuan bbrp karat pd rangka skutik Genio Beat Series Scoopy dan Vario yg memakai rangka eSAF. https://t.co/znBoo6FtaP,1.70E+18,https://pbs.twimg.com/media/F4lmkn3bUAA5YMT.jpg,,in,ÃƒÅT: -8.740483115.167821,0,2,2,https://x.com/yuswohady/status/1695999518196851092,14947254,yuswohady
1.70E+18,Tue Aug 29 20:00:01 +0000 2023,1,Kasus rangka eSAF patah itu memang fatal tapi kalian harus lihat ini dari sisi lain. #TerminalMojok https://t.co/ARAy3zEqgr,1.70E+18,,,in,redaksi@mojok.co,0,0,1,https://x.com/mojokdotco/status/1696613697115050168,2388795571,mojokdotco
1.69E+18,Fri Aug 25 05:26:35 +0000 2023,28,Pasukan khusus yang berbahagia kecuali yang pake rangka eSaf https://t.co/5Udx5AGn0T,1.69E+18,https://pbs.twimg.com/media/F4Wm44RbYAASGSK.jpg,,in,vvhere you at,0,1,7,https://x.com/meme_posser/status/1694944338391048203,1.61E+18,meme_posser
